teacher,budget,rep,policy_acc,sequence_acc,alive_swaps,candidate_edges
transformer,14,40,1.0,1.0,1,25
transformer,14,41,0.9583333333333334,0.875,1,20
transformer,14,42,1.0,1.0,1,24
transformer,14,43,0.9166666666666666,0.875,1,21
transformer,14,44,0.9583333333333334,0.875,1,21
transformer,14,45,0.9583333333333334,0.875,1,25
transformer,14,46,1.0,1.0,1,26
transformer,14,47,0.9166666666666666,0.75,1,20
transformer,14,48,0.8333333333333334,0.625,1,20
transformer,14,49,0.9166666666666666,0.75,2,40
transformer,14,50,0.9583333333333334,0.875,1,23
transformer,14,51,0.9583333333333334,0.875,1,25
transformer,14,52,0.9166666666666666,0.875,1,21
transformer,14,53,0.9583333333333334,0.875,1,23
transformer,14,54,0.9583333333333334,0.875,1,20
transformer,14,55,1.0,1.0,1,21
transformer,14,56,1.0,1.0,1,24
transformer,14,57,0.9583333333333334,0.875,1,21
transformer,14,58,0.9166666666666666,0.75,2,40
transformer,14,59,0.9166666666666666,0.75,2,40
transformer,14,60,1.0,1.0,1,26
transformer,14,61,0.9166666666666666,0.875,1,21
transformer,14,62,1.0,1.0,1,20
transformer,14,63,0.9166666666666666,0.875,1,21
transformer,14,64,1.0,1.0,1,25
transformer,14,65,1.0,1.0,1,26
transformer,14,66,1.0,1.0,1,21
transformer,14,67,0.9166666666666666,0.75,1,24
transformer,14,68,1.0,1.0,1,24
transformer,14,69,1.0,1.0,1,24
transformer,14,70,0.875,0.75,1,20
transformer,14,71,1.0,1.0,1,20
transformer,14,72,0.875,0.625,2,42
transformer,14,73,1.0,1.0,1,21
transformer,14,74,1.0,1.0,1,24
transformer,14,75,1.0,1.0,1,21
transformer,14,76,0.9166666666666666,0.875,1,21
transformer,14,77,1.0,1.0,1,22
transformer,14,78,1.0,1.0,1,23
transformer,14,79,0.9166666666666666,0.75,1,20
transformer,14,80,0.9166666666666666,0.75,2,40
transformer,14,81,1.0,1.0,1,29
transformer,14,82,0.9583333333333334,0.875,1,25
transformer,14,83,0.9166666666666666,0.75,2,40
transformer,14,84,1.0,1.0,1,25
transformer,14,85,0.9166666666666666,0.875,1,21
transformer,14,86,0.9166666666666666,0.75,1,26
transformer,14,87,1.0,1.0,1,21
transformer,14,88,1.0,1.0,1,28
transformer,14,89,1.0,1.0,1,19
transformer,14,90,0.9166666666666666,0.75,1,20
transformer,14,91,1.0,1.0,1,24
transformer,14,92,0.9583333333333334,0.875,1,23
transformer,14,93,0.9166666666666666,0.875,1,21
transformer,14,94,1.0,1.0,1,21
